Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
Sociology,0418,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,364,78,30,5,44,8
Journalism,0419,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,187,33,25,6,4,2
Ecology & Evolutionary Biology,0420,College of Science,Y,SCNC,O,OFFICIAL ORG,881,156,46,29,69,38
Astronomy,0422,College of Science,Y,SCNC,O,OFFICIAL ORG,158,76,38,22,20,3
Psychology,0423,College of Science,Y,SCNC,O,OFFICIAL ORG,1031,264,78,60,138,34
German Studies,0424,College of Humanities,Y,HMNT,O,OFFICIAL ORG,166,26,12,1,14,2
Chemistry,0425,College of Science,N,SCNC,O,OFFICIAL ORG,923,18,0,0,0,18
Planetary Sciences,0426,College of Science,Y,SCNC,O,OFFICIAL ORG,61,23,11,1,10,3
Humanities Administration,0427,College of Humanities,Y,HMNT,O,OFFICIAL ORG,271,74,37,55,19,1
Philosophy,0428,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,257,73,29,4,37,8
English,0429,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,1502,285,116,19,153,12
Mathematics,0430,College of Science,Y,SCNC,O,OFFICIAL ORG,1822,385,134,56,228,9
Linguistics,0431,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,279,85,24,5,50,9
Mexican American Studies,0432,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,125,28,11,4,13,3
Gender and Womens Studies,0433,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,144,32,10,3,15,4
Africana Studies,0435,College of Humanities,Y,HMNT,O,OFFICIAL ORG,165,38,13,1,24,1
Udall Center,0436,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,161,42,12,20,18,5
Latin American Area Center,0437,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,130,19,8,3,8,3
MMT Observatory,0438,College of Science,Y,SCNC,O,OFFICIAL ORG,86,36,15,31,4,1
East Asian Studies,0439,College of Humanities,Y,HMNT,O,OFFICIAL ORG,244,75,24,1,51,0
French and Italian,0440,College of Humanities,Y,HMNT,O,OFFICIAL ORG,252,48,28,1,19,3
Spanish and Portuguese,0441,College of Humanities,Y,HMNT,O,OFFICIAL ORG,581,148,50,6,92,5
Science Administration,0442,College of Science,Y,SCNC,O,OFFICIAL ORG,110,41,19,25,17,1
Social & Behavioral Sci Admin,0443,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,271,128,60,91,39,3
Soc & Behavioral Sci Rsch Inst,0444,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,40,4,2,2,2,0
SW Institute for Rsch on Women,0445,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,172,38,13,22,11,5
Southwest Studies Center,0447,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,15,11,9,10,0,1
Ctr for Middle Eastern Studies,0448,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,82,20,6,7,11,2
Medieval Reformation Studies,0449,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,34,8,0,0,8,0
CRITICAL LANGUAGES PROGRAM,0450,Humanities Administration,Y,0427,N,UNOFFICIAL ORG - LEVEL 1,113,1,0,0,1,0
Writing Skills Improvement,0452,College of Humanities,Y,HMNT,O,OFFICIAL ORG,26,8,7,7,1,0
Humanities Program,0453,Academic Affairs Division,N,AADV,O,OFFICIAL ORG,9,0,0,0,0,0
Second Language Acquisition Teaching,0456,College of Humanities,Y,HMNT,O,OFFICIAL ORG,52,24,1,21,4,0
AZ Center for Judaic Studies,0457,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,56,16,9,2,4,2
Science Instructional Support,0458,College of Science,Y,SCNC,O,OFFICIAL ORG,0,0,0,0,0,0
Ctr Interpretation Test & Rsch,0460,College of Humanities,Y,HMNT,O,OFFICIAL ORG,67,10,4,3,5,0
Enrollment Management,0461,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,255,71,7,13,58,1
CLAS Academic Advising Center,0462,College of Humanities,Y,HMNT,O,OFFICIAL ORG,89,3,0,0,1,2
Large Binocular Telescope Obs,0463,College of Science,Y,SCNC,O,OFFICIAL ORG,260,75,48,71,6,0
Cognitive Science,0464,College of Science,Y,SCNC,O,OFFICIAL ORG,31,9,2,1,5,2
School of Govt & Public Policy,0465,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,409,166,75,16,83,7
Ctr for Philosophy of Freedom,0466,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,32,21,7,7,10,2
Sch of Intl Lang Lit & Culture,0467,College of Humanities,Y,HMNT,O,OFFICIAL ORG,70,26,3,14,14,0
Humanities Language Services,0468,College of Humanities,Y,HMNT,O,OFFICIAL ORG,11,4,1,3,0,1
Hydrology & Atmospheric Sci,0469,College of Science,Y,SCNC,O,OFFICIAL ORG,155,118,45,28,58,7
RELIGIOUS STUDIES PROGRAM,0470,Sch of Intl Lang Lit & Culture,Y,0467,N,UNOFFICIAL ORG - LEVEL 1,99,1,0,0,0,1
Arizona Geological Survey,0471,College of Science,Y,SCNC,O,OFFICIAL ORG,31,24,16,17,7,1
Public & Applied Humanities,0472,College of Humanities,Y,HMNT,O,OFFICIAL ORG,7,7,5,4,1,0
Center for Buddhist Studies,0473,College of Humanities,Y,HMNT,O,OFFICIAL ORG,4,3,0,0,3,0
Center for Digital Humanities,0474,College of Humanities,Y,HMNT,O,OFFICIAL ORG,7,6,0,0,6,0
Political Economy & Moral Sci,0476,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,5,4,4,1,0,0
School of Information,0481,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,245,124,52,19,63,3
Institute Atmospheric Physics,0501,College of Science,Y,SCNC,O,OFFICIAL ORG,135,7,0,0,1,6
Bureau of Mineral Technology,0601,College of Engineering,Y,ENGR,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Budget Clearing Alloc,0650,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM PHX Emergency Med Rsch Ctr,0655,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,16,9,8,8,1,1
COM Phx Campus Administration,0659,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,318,113,48,93,18,11
COM Phx Basic Medical Sci,0660,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,250,84,39,35,11,23
COM Phx Campus Scholarships,0661,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx NanoBioscience & Med,0662,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,38,13,8,13,2,0
COM Phoenix Academic Affairs,0663,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,936,437,228,210,86,135
COM Phx Anesthesiology,0664,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Biomedical Informatics,0665,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,6,5,4,3,0,3
COM Phx Child Health,0666,College of Medicine - Phoenix,N,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Emergency Medicine,0667,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Family Commun&Prev Med,0668,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,3,3,3,1,0,0
COM Phx Internal Medicine,0669,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,110,84,49,59,13,9
COM Phx Neurology,0670,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Obstetrics&Gynecology,0671,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,13,11,8,10,0,2
COM Phx Ophthalmology,0672,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,1,1,1,1,0,1
COM Phx Orthopedics,0673,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,3,3,2,2,0,1
COM Phx Psychiatry,0674,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,1,1,1,1,0,0
COM Phx Physical Med & Rehab,0675,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Radiology,0676,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Surgery,0677,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,7,5,5,4,1,1
COM Phx Neurosurgery,0678,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,2,2,2,2,0,1
COM Phx Urology,0679,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Pathology,0680,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,1,1,1,1,0,1
COM Phx Dermatology,0681,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Molecular Medicine,0682,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Radiation Oncology,0683,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Bioethics Med Humanism,0684,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,2,2,2,1,0,0
COM Phx Child Health,0685,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,17,10,3,8,1,6
COM Phx Ctr Tox&Pharm Ed&Res,0686,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,1,0,0,0,0,0
COM Phx Translational Neurosci,0687,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,0,0,0,0,0,0
COM-Phx Interdisc Oncology,0688,College of Medicine - Phoenix,Y,MDPX,O,OFFICIAL ORG,3,0,0,0,0,0
Otolaryngology,0700,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,47,24,9,11,2,7
Medicine Administration,0701,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,115,37,19,31,8,0
Surgery,0702,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,1252,247,53,66,113,60
Obstetrics and Gynecology,0703,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,208,45,11,10,4,26
Family and Community Medicine,0704,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,832,175,51,74,40,40
Physiology,0705,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,477,134,47,37,57,19
COM University Animal Care,0706,Vice President for Research,N,RSCH,N,UNOFFICIAL ORG - LEVEL 1,56,0,0,0,0,0
Immunobiology,0707,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,277,72,29,42,19,2
Chemistry & Biochemistry-Med,0708,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,49,21,11,9,5,2
Pediatrics,0709,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,655,129,43,34,15,64
Cellular & Molecular Medicine,0710,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,309,124,65,64,31,4
Medical Imaging,0711,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,553,98,34,23,25,28
Arizona Center on Aging,0712,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,50,7,4,5,1,1
Medicine,0713,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,1723,397,136,158,56,130
Anesthesiology,0715,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,334,55,15,14,1,32
Sarver Heart Center,0716,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,188,40,6,24,16,3
Psychiatry,0717,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,609,134,24,40,22,64
Neurology,0718,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,252,64,19,16,15,20
Pharmacology,0719,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,332,103,45,45,35,7
Pathology,0720,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,349,58,15,17,8,24
Cancer Center Division,0721,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,1570,267,68,195,78,21
Asthma/Airway Disease Rsch Ctr,0723,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,319,72,16,51,18,8
Ophthalmology & Vision Science,0724,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,251,46,12,11,5,27
COM Info Technology Services,0728,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,93,35,13,27,8,1
Biomedical Communications,0729,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,11,0,0,0,0,0
AHS Library,0730,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,88,1,0,0,0,1
AHS Office of Public Affairs,0731,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,23,5,0,0,1,4
AHS Human Resources,0733,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Procurement & Contracting AHSC,0734,AHS Human Resources,N,0733,N,UNOFFICIAL ORG - LEVEL 1,8,0,0,0,0,0
COM General - Academic Support,0738,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
COM General - Instl Support,0739,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
COM General - Instruction,0740,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Radiation Oncology,0741,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,123,21,8,6,2,8
Clinical Teaching,0744,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,2,0,0,0,0,0
Physiological Sci Grad Prog,0745,Physiology,Y,0705,N,UNOFFICIAL ORG - LEVEL 1,27,1,0,0,0,1
COM Academic Affairs,0747,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,62,25,14,19,8,2
COM Administration - Acad Supp,0749,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Dept of Emergency Medicine,0750,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,461,102,41,28,10,38
Medical Student Research Prog,0752,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Hispanic Center of Excellence,0753,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,0,0,0,0,0,0
Physiology-Research,0755,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,113,0,0,0,0,0
Immunobiology-Research,0757,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Chemistry & Biochemistry-Rsch,0758,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,13,0,0,0,0,0
Cellular & Molecular Med-Rsch,0760,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,134,3,0,0,0,3
Medicine-Research,0763,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Surgery - Clinical Research,0766,Surgery,Y,0702,N,UNOFFICIAL ORG - LEVEL 1,194,40,0,0,0,40
Neurology-Research,0768,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,1,0,0,0,0,0
Pharmacology-Research,0769,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,91,2,0,0,0,2
Arthritis Center-Research,0771,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,175,14,6,11,3,1
Children's Research Center,0772,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,198,26,12,17,5,5
AZ Emergency Medicine Rsch Ctr,0775,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,96,4,0,1,1,2
COM - Phoenix Support,0776,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,49,1,0,0,0,1
Curricular Affairs,0778,COM Academic Affairs,Y,0747,N,UNOFFICIAL ORG - LEVEL 1,204,48,10,22,5,21
Liver Research Institute,0779,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,19,3,0,3,0,0
COM General - Student Services,0780,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
COM Admissions - Stdnt Svcs,0781,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,1,0,0,0,0,0
COM Student Affairs,0782,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,92,37,8,15,19,5
Office of Diversity&Inclusion,0783,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,115,31,7,10,22,3
Arizona Telemedicine Program,0784,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,57,14,5,13,1,0
COM Clinical Rural Rotations,0785,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Orthopaedic Surgery,0786,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,137,36,14,10,6,14
Medical Bookstore,0787,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Andrew Weil Ctr Intgrtv Med,0788,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,170,57,25,47,8,5
COM Administration - Stdt Svcs,0789,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,1,0,0,0,0,0
COM General - Research,0790,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
AHS Continuing Medical Educ,0792,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,17,6,2,4,1,1
Valley Fever Ctr for Excellnc,0795,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,29,18,4,12,5,2
AHS Provost Administration,0796,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
COM General - Public Service,0797,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
COM Administration-Research,0798,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,31,1,1,1,0,0
AZ Simulation Technology & Edu,0799,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,310,20,5,9,3,10
University of Arizona Press,0801,Libraries,Y,LBRY,O,OFFICIAL ORG,111,19,3,12,7,1
Neurosurgery,0805,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,10,10,8,3,2,1
Urology,0810,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,5,5,5,3,0,0
Diabetes Research,0850,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,5,0,0,0,0,0
Neuro Degeneration&Repair Rsch,0851,College of Medicine - Tucson,N,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Cardiovascular Biology Rsch,0852,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,8,1,0,1,0,0
Cancer Research,0853,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Adv Rsch Inst Biomed Imaging,0854,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Viper Institute,0855,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,11,5,3,4,1,0
CAPLA Administration,1001,Col Arch Plan & Landscape Arch,Y,ARCH,O,OFFICIAL ORG,172,27,14,21,7,1
Drachman Institute,1003,Col Arch Plan & Landscape Arch,Y,ARCH,O,OFFICIAL ORG,156,4,0,0,0,4
School of Architecture,1004,Col Arch Plan & Landscape Arch,Y,ARCH,O,OFFICIAL ORG,827,133,48,10,75,2
Sch of Landscape Architecture,1005,Col Arch Plan & Landscape Arch,Y,ARCH,O,OFFICIAL ORG,161,28,15,4,11,0
Flandrau Science Center,1101,College of Science,Y,SCNC,O,OFFICIAL ORG,275,53,3,11,41,3
Water Resources Rsch Ctr-Res,1202,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,117,15,6,9,4,2
Hydrology and Water Resources,1203,College of Science,Y,SCNC,O,OFFICIAL ORG,446,12,0,0,1,11
Tree Ring Laboratory,1204,College of Science,Y,SCNC,O,OFFICIAL ORG,331,89,24,29,43,10
Geosciences,1205,College of Science,Y,SCNC,O,OFFICIAL ORG,1198,246,62,59,104,58
Military Property Custodian,1302,Dean of Students,N,DNST,O,OFFICIAL ORG,2,0,0,0,0,0
Military Aerospace Studies,1303,Dean of Students,Y,DNST,O,OFFICIAL ORG,4,1,0,1,1,0
Military Science Tactics,1304,Dean of Students,Y,DNST,O,OFFICIAL ORG,24,3,1,1,2,0
Naval Science,1305,Dean of Students,Y,DNST,O,OFFICIAL ORG,1,1,0,0,1,0
Biosphere 2,1306,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,200,38,14,31,4,2
BIOSPHERE 2,1307,Biosphere 2,N,1306,N,UNOFFICIAL ORG - LEVEL 1,53,1,0,0,0,1
Physiology-Undergraduate Prog,1401,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Administration and Athletics,1402,Intercollegiate Athletics Div,Y,ICAD,O,OFFICIAL ORG,3430,639,204,403,245,3
PHYSICAL EDUCATION PROGRAM,1404,College of Education,N,EDUC,O,OFFICIAL ORG,35,0,0,0,0,0
Administrative Support,1405,Exec Ofc of the President Div,N,PREO,O,OFFICIAL ORG,0,0,0,0,0,0
Agric Extension Administration,1501,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,66,28,17,23,5,1
Veterinary & Sci Microbio-Ext,1503,CALS Cooperative Ext,N,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
Sch of Family & Consum Sci-Ext,1507,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,269,33,5,10,23,1
Extension Programs,1508,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,18,1,1,1,0,0
Tribal Extension Programs,1510,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
Apache County Office,1511,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,35,7,4,7,1,0
Sch of Nat Resource&Enviro-Ext,1512,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,15,4,3,4,0,0
Arid Lands Studies-Ext,1515,CALS Cooperative Ext,N,AGCE,O,OFFICIAL ORG,1,0,0,0,0,0
Agricultural Resource Econ-Ext,1518,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,18,5,2,4,1,0
Biosystems Engineering - Ext,1520,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,3,3,1,2,0,1
Environmental Science-Ext,1521,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,11,7,4,6,1,0
Cochise County Office,1522,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,171,53,5,52,4,0
Nutritional Sciences-Ext,1523,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,101,22,5,19,8,0
Animal Sciences-Ext,1524,CALS Cooperative Ext,N,AGCE,O,OFFICIAL ORG,6,0,0,0,0,0
